date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:38	45603/45603	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:50:36%20GMT	https://metahero.io/kr	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/kr.html	(from https://metahero.io/)
17:50:38	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:50:37%20GMT	http://metahero.io/ja	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/ja	(from https://metahero.io/)
17:50:38	46623/46623	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:50:37%20GMT	https://metahero.io/ja	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/ja.html	(from https://metahero.io/)
17:50:38	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:50:37%20GMT	http://metahero.io/zh	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/zh	(from https://metahero.io/)
17:50:38	45971/45971	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:50:37%20GMT	https://metahero.io/zh	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/zh.html	(from https://metahero.io/)
17:50:38	26894/26894	---M-Z	200	added ('OK')	text/css	etag:%22690e-5d2a01f3e548c-gzip%22	https://metahero.io/build/website/592.8b338026.css	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/build/website/592.8b338026.css	(from https://metahero.io/)
17:50:39	99802/99802	---M-Z	200	added ('OK')	text/css	etag:%22185da-5d2a01f3e548c-gzip%22	https://metahero.io/build/website/app.8827dbcd.css	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/build/website/app.8827dbcd.css	(from https://metahero.io/)
17:50:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2020%20Jan%202022%2016:50:38%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/www.googletagmanager.com/gtm.1b5445.delayed	(from https://metahero.io/)
17:50:40	16931/16931	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jan%202022%2016:50:39%20GMT	https://metahero.io/%e2%80%9chttps://www.googletagmanager.com/ns.html?id=GTM-5BHMZ2C%e2%80%9d	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/%e2%80%9chttps_/www.googletagmanager.com/nsaf3b.html	(from https://metahero.io/)
17:50:40	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:50:39%20GMT	http://metahero.io/tech	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/tech	(from https://metahero.io/)
